"","solvent","sample","plate","well","control","control2","auc","run","A","mu","lambda","rel_fitness","rel_max_GR","DT","rel_fit_off_plate","strain","rel_fit_to_by"
"272","H2O-2","Copper(II) sulfate","S3L1","H11",2,"case",2026.428,"SAM-MIATCS3ISH",0.038,2.34055221905306e-06,-1708.99840107747,0.0137159095082496,0.0483053877161779,82.2630155061322,0.0392875374107614,"wlp.644",0.984288707745484
"273","H2O-2","Copper(II) sulfate","S1L1","H11",2,"case",779.319500000001,"SAM-MIATCS3ISH",0.015,1.21618624862607e-06,20811.3026239542,0.011114163757365,0.0488185683667914,158.315293982634,0.0105931470184089,"S6.14",0.378535720773626
"274","H2O-2","Copper(II) sulfate","S2L2","H11",2,"case",3716.467,"SAM-MIATCS3ISH",0.037,3.48262561302213e-06,158077.669956344,0.032140338078021,0.173815139596329,55.2861274461804,0.0760645861918781,"u5.05",1.80518454186812
"275","H2O-2","Copper(II) sulfate","S3L2","H11",2,"case",73195.5715,"SAM-MIATCS3ISH",1.094,5.600420759645e-05,92006.6292137998,1.10167589113908,2.6600293288665,3.43797174805627,0.770765694639327,"W.34.70",35.5529900319316
"276","H2O-2","Copper(II) sulfate","S1L2","H11",2,"case",58742.9295,"SAM-MIATCS3ISH",0.533,2.37772602818848e-05,13020.3944966804,0.458038238032083,0.65903783542581,8.09769002846659,0.75203588775944,"S6.45",28.5329664645075
"277","H2O-2","Dequalinium Chloride","S3L1","G09",2,"case",125358.2665,"SAM-MIATCS3ISH",0.998,3.90722037627458e-05,23346.1651308214,0.848489381031568,0.806390020406614,4.9278224657616,2.43039357177602,"wlp.644",3.73114803277068
"278","H2O-2","Dequalinium Chloride","S1L1","G09",2,"case",67744.303,"SAM-MIATCS3ISH",0.519,2.20762251905684e-05,23938.3729623412,0.966126572183236,0.886155150959781,8.721639765259,0.920835884818278,"S6.14",2.01633310612086
"279","H2O-2","Dequalinium Chloride","S3L2","G09",2,"case",102413.089,"SAM-MIATCS3ISH",0.94,2.59901801536162e-05,34556.7708651448,1.54143247707794,1.2344544175914,7.40821657837119,1.07843267107005,"W.34.70",3.04821059050237
"280","H2O-2","Dequalinium Chloride","S2L1","G09",2,"case",75950.8395,"SAM-MIATCS3ISH",0.627,3.56748867826912e-05,25632.0218981052,0.892957253444809,0.7853702204609,5.39709865546906,0.941753990289688,"s6.113",2.260591449609
"281","H2O-2","Dequalinium Chloride","S2L2","G09",2,"case",81429.0605,"SAM-MIATCS3ISH",0.778,1.51771348922337e-05,20872.8446987243,0.704205777650017,0.757479015287178,12.6862470984164,1.66660104635018,"u5.05",2.42364454596969
"282","H2O-2","Dequalinium Chloride","S1L2","G09",2,"case",140084.912,"SAM-MIATCS3ISH",1,3.62986370743371e-05,18376.4460235134,1.09228883907397,1.00609468554305,5.30435572813831,1.79338827760749,"S6.45",4.16947009896355
"283","H2O-2","Diamide","S2L2","C12",2,"case",56809.603,"SAM-MIATCS3ISH",0.461,1.36036819495889e-05,11632.6155311018,0.491294513444665,0.678949200927738,14.1535860807663,1.16271688781842,"u5.05",0.985135739422371
"284","H2O-2","Diamide","S3L2","C12",2,"case",80739.153,"SAM-MIATCS3ISH",0.762,1.92830655350854e-05,44238.9872077268,1.21521529934484,0.915886896273725,9.98497272845686,0.850201290478836,"W.34.70",1.40009824027447
"285","H2O-2","Diamide","S3L1","C12",2,"case",3378.9645,"SAM-MIATCS3ISH",0.053,2.09668346524417e-06,0,0.022870573893367,0.0432723127825346,91.8311641602281,0.0655099486403586,"wlp.644",0.0585946480067717
"286","H2O-2","Diamide","S2L1","C12",2,"case",2141.117,"SAM-MIATCS3ISH",0.017,1.81026580811159e-06,332.594935771799,0.0251732037224419,0.0398523719351851,106.360559110226,0.0265488241038743,"s6.113",0.0371291254928293
"287","H2O-2","Diamide","S1L1","C12",2,"case",1639.2475,"SAM-MIATCS3ISH",0.012,1.64633166041394e-06,0,0.0233779151604075,0.0660849066572879,116.951455237435,0.0222819905918679,"S6.14",0.0284262028377275
"288","H2O-2","Diamide","S1L2","C12",2,"case",2987.112,"SAM-MIATCS3ISH",0.027,1.69796066686235e-06,0,0.0232915097856073,0.0470626266130279,113.395373194757,0.0382414606128364,"S6.45",0.0517995309500304
"289","H2O-2","DTT","S1L1","B12",2,"case",2028.476,"SAM-MIATCS3ISH",0.018,1.24992195421826e-06,56468.4505233891,0.0289288468232666,0.0501727432324543,154.042324674019,0.0275727021989235,"S6.14",0.31433085166306
"290","H2O-2","DTT","S2L2","B12",2,"case",58060.8275,"SAM-MIATCS3ISH",0.488,1.40846275937705e-05,7202.06563105951,0.502115214514123,0.702952824506765,13.6702857215787,1.18832558387994,"u5.05",8.99705461456631
"291","H2O-2","DTT","S1L2","B12",2,"case",58639.163,"SAM-MIATCS3ISH",0.519,2.80204098265201e-05,14338.95368544,0.457229135979609,0.776645838119666,6.87145136994542,0.750707453297431,"S6.45",9.08667297350276
"292","H2O-2","DTT","S3L1","B12",2,"case",1547.461,"SAM-MIATCS3ISH",0.017,1.816525202506e-06,0,0.0104740139020708,0.0374902783577981,105.994061201712,0.030001525802641,"wlp.644",0.239793191561236
"293","H2O-2","DTT","S2L1","B12",2,"case",3113.8645,"SAM-MIATCS3ISH",0.023,1.8771316861703e-06,0,0.0366098374925703,0.0413244009765712,102.571857322217,0.0386104266575803,"s6.113",0.482521696213496
"294","H2O-2","DTT","S3L2","B12",2,"case",14660.1655,"SAM-MIATCS3ISH",0.145,5.8067204315602e-06,11862.4305379498,0.220652022526511,0.275801539123243,33.1582837090609,0.154374812759471,"W.34.70",2.27172631430513
