run,plate,well,A,mu,lambda
SR1_results_MITACS DRUG RUN 2,S1L2,C10,0.9339999999999999,2.773396117294369e-5,22690.27844541672
SR1_results_MITACS DRUG RUN 2,S1L2,C11,0.956,3.7168793913367665e-5,17336.93101837448
SR1_results_MITACS DRUG RUN 2,S1L2,C12,0.47000000000000003,1.2356521217100521e-5,13426.960208201628
SR1_results_MITACS DRUG RUN 2,S1L2,D01,0.356,4.6624713674111335e-6,8388.60119032384
SR1_results_MITACS DRUG RUN 2,S1L2,D02,1.111,1.0348764086957055e-4,10000.976815689912
SR1_results_MITACS DRUG RUN 2,S1L2,D03,0.33999999999999997,1.981249807724265e-5,12341.520044291045
SR1_results_MITACS DRUG RUN 2,S1L2,D04,0.9810000000000001,5.3158733941564345e-5,21220.7871058278
SR1_results_MITACS DRUG RUN 2,S1L2,D05,1.086,5.218042740660236e-5,23055.161250752408
SR1_results_MITACS DRUG RUN 2,S1L2,D06,0.887,5.223727046841482e-5,20803.45319310746
SR1_results_MITACS DRUG RUN 2,S1L2,D07,0.43,1.3886516250768321e-5,11476.34800155024
