"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"149","S1L2","F11","Result_96_2020-01-13_mitacs_control",3.93006144387946,0.000223230278122041,6892.99935359928,"H2O","case","S6.45"
"150","S1L2","C09","Result_96_2020-01-13_mitacs_control",3.96293790577846,0.000221828585617889,6851.86856262302,"H2O","case","S6.45"
"151","S1L2","A08","Result_96_2020-01-13_mitacs_control",4.13894935153845,0.00018899604181575,13217.335270215,"H2O","case","S6.45"
"152","S1L2","A06","Result_96_2020-01-13_mitacs_control",3.3842123731417,0.000257044079025499,16748.5420956519,"H2O","case","S6.45"
"153","S1L2","H07","Result_96_2020-01-13_mitacs_control",4.07681559705083,0.000181667073083426,13512.2659271232,"DMSO","case","S6.45"
"154","S1L2","F09","Result_96_2020-01-13_mitacs_control",4.03097673669467,0.000176031430400886,14214.4433696829,"DMSO","case","S6.45"
"155","S1L2","G04","Result_96_2020-01-13_mitacs_control",3.96733381107968,0.000239564276197166,6749.11160346986,"H2O","case","S6.45"
"156","S1L2","H05","Result_96_2020-01-13_mitacs_control",3.88227804112691,0.000259683086268197,6835.54531255861,"H2O","case","S6.45"
"157","S1L2","F01","Result_96_2020-01-13_mitacs_control",3.94080707995129,0.000147634054037468,16427.1698016591,"DMSO","case","S6.45"
"158","S1L2","E06","Result_96_2020-01-13_mitacs_control",4.03325861994542,0.000208502395228817,7356.48534196968,"H2O","case","S6.45"
"159","S1L2","A05","Result_96_2020-01-13_mitacs_control",4.28705763504031,0.00021129625405593,15477.805386962,"H2O","case","S6.45"
"160","S1L2","F08","Result_96_2020-01-13_mitacs_control",4.0670018036138,0.000188609849099429,15951.7056620756,"DMSO","case","S6.45"
"161","S1L2","E11","Result_96_2020-01-13_mitacs_control",4.00268908752764,0.000227682880081084,6743.47911440614,"H2O","case","S6.45"
"162","S1L2","G08","Result_96_2020-01-13_mitacs_control",3.98265810322648,0.00025855102860276,6757.54329536129,"H2O","case","S6.45"
"163","S1L2","D12","Result_96_2020-01-13_mitacs_control",3.34680276352639,0.000323461534157,17500.6321536139,"H2O","case","S6.45"
"164","S1L2","G01","Result_96_2020-01-13_mitacs_control",4.41287430613795,0.000188709157935419,23292.906951093,"ETOH","case","S6.45"
"165","S1L2","A12","Result_96_2020-01-13_mitacs_control",3.31488895930152,0.000261682756093064,8954.29230348269,"H2O","case","S6.45"
"166","S1L2","B08","Result_96_2020-01-13_mitacs_control",4.03325861994542,0.00022766773226907,6516.93015512306,"H2O","case","S6.45"
"167","S1L2","E03","Result_96_2020-01-13_mitacs_control",4.02236781302845,0.000248527367208823,14438.5965190002,"H2O","case","S6.45"
"168","S1L2","A04","Result_96_2020-01-13_mitacs_control",3.85870180205782,0.000217600150011554,15397.1848759348,"H2O","case","S6.45"
"169","S1L2","C03","Result_96_2020-01-13_mitacs_control",3.98399952130628,0.000227799061369563,6304.70929437089,"H2O","case","S6.45"
"170","S1L2","E01","Result_96_2020-01-13_mitacs_control",4.39695184706884,0.000195805486577219,22545.5396507712,"ETOH","case","S6.45"
"171","S1L2","E08","Result_96_2020-01-13_mitacs_control",4.16520259119991,0.00018725635567475,14108.3437024856,"DMSO","case","S6.45"
"172","S1L2","G02","Result_96_2020-01-13_mitacs_control",3.877744249949,0.000242140073759856,7237.80776394115,"H2O","case","S6.45"
"173","S1L2","C10","Result_96_2020-01-13_mitacs_control",3.94351951759924,0.000213022589126169,6406.11212393766,"H2O","case","S6.45"
"174","S1L2","B05","Result_96_2020-01-13_mitacs_control",4.11290175357036,0.00016286281848044,12113.0835181013,"DMSO","case","S6.45"
"175","S1L2","C04","Result_96_2020-01-13_mitacs_control",3.97323309043721,0.000214442318834231,6408.88028180838,"H2O","case","S6.45"
"176","S1L2","D01","Result_96_2020-01-13_mitacs_control",3.70193862221451,0.000205863276855142,17529.4831437628,"DMSO","case","S6.45"
"177","S1L2","H02","Result_96_2020-01-13_mitacs_control",3.9877633274811,0.000189813516496802,11238.2234132227,"DMSO","case","S6.45"
"178","S1L2","B09","Result_96_2020-01-13_mitacs_control",4.0351282234036,0.00016190406166014,12211.2897150433,"DMSO","case","S6.45"
"179","S1L2","C02","Result_96_2020-01-13_mitacs_control",3.97830492890068,0.000226599253321236,6371.9186080035,"H2O","case","S6.45"
"180","S1L2","F02","Result_96_2020-01-13_mitacs_control",4.09334419893035,0.000173122153677872,11661.3977648389,"DMSO","case","S6.45"
"181","S1L2","E12","Result_96_2020-01-13_mitacs_control",3.42090609736798,0.000302807762810047,17798.0566141471,"H2O","case","S6.45"
"182","S1L2","G11","Result_96_2020-01-13_mitacs_control",3.97995405779824,0.000169397635255483,13121.0631733542,"DMSO","case","S6.45"
